income,credit_score,employment_years,loan_amount,debt_to_income,loan_approved
108858,731,21,355103,0.28,1
39065,718,15,431634,0.71,1
144097,754,6,272885,0.22,1
103460,459,27,116585,0.14,1
108092,822,8,470590,0.6,1
146116,376,2,389708,0.43,1
74693,808,14,73798,0.69,1
46962,740,15,383170,0.37,1
48295,553,17,206604,0.22,1
33807,619,13,115130,0.69,1
62348,562,2,289308,0.48,1
46432,673,11,171667,0.23,1
103285,466,8,35257,0.6,1
126995,758,27,412427,0.46,1
111792,579,6,363133,0.52,1
77854,601,8,403448,0.42,1
60262,830,12,465969,0.68,1
57080,517,17,57691,0.68,1
21324,401,4,487981,0.6,1
111267,587,12,84768,0.17,1
144707,466,3,423829,0.69,1
55909,335,1,19026,0.57,1
109339,652,15,451751,0.59,1
39870,372,8,230162,0.35,1
54578,652,8,298052,0.72,1
92124,369,5,450329,0.61,1
137611,724,10,24610,0.18,1
123605,816,21,182718,0.39,1
46790,727,23,330329,0.72,1
138874,838,21,339711,0.13,1
45289,459,0,183646,0.77,1
75129,448,3,227123,0.58,1
113714,529,12,303326,0.54,1
114246,366,22,383280,0.29,1
35485,680,12,398786,0.27,1
64482,357,12,496006,0.76,1
106188,558,1,24288,0.31,1
24748,641,8,345968,0.64,1
106769,429,23,428093,0.38,1
29435,471,7,89425,0.2,1
23709,508,6,5917,0.11,1
143961,653,3,342746,0.48,1
50355,770,17,493256,0.78,1
75771,415,2,331719,0.36,1
77799,563,27,339662,0.35,1
33116,741,5,258187,0.34,1
45470,847,11,44104,0.46,1
62344,752,11,154134,0.41,1
62918,776,20,284143,0.72,1
72224,586,27,267091,0.45,1
59298,602,7,460061,0.46,1
128492,610,21,408157,0.2,1
100219,507,21,66169,0.79,1
81629,745,0,159542,0.27,1
86040,354,3,134744,0.15,1
119518,311,20,377828,0.56,1
119835,699,27,64821,0.52,1
48016,814,10,222741,0.39,1
43960,841,2,254265,0.4,1
53591,536,12,442651,0.65,1
102848,578,24,402745,0.24,1
123333,647,16,219127,0.67,1
131732,403,21,279336,0.55,1
134821,816,21,341246,0.39,1
87641,547,9,208834,0.42,1
56395,663,20,239538,0.28,1
131276,620,11,382038,0.63,1
149695,585,14,91795,0.46,1
42700,448,20,170159,0.32,1
54620,383,9,333821,0.52,1
123214,705,13,140699,0.8,1
148148,755,12,454757,0.4,1
40559,460,4,248877,0.74,1
113045,759,5,204298,0.34,1
113396,849,23,401471,0.14,1
81642,799,1,193505,0.24,1
96539,808,21,141285,0.39,1
41732,780,16,107412,0.25,1
148675,413,3,24404,0.1,1
111362,660,13,121545,0.74,1
50354,640,9,423596,0.69,1
33843,748,2,227128,0.62,1
130008,479,24,155245,0.22,1
134065,706,2,189099,0.18,1
91726,495,14,291133,0.15,1
37640,765,5,266657,0.61,1
72528,610,16,375250,0.75,1
58413,561,11,291663,0.4,1
148142,718,21,261875,0.18,1
72638,705,19,289583,0.46,1
72736,442,23,385714,0.34,1
127892,641,28,475165,0.36,1
130133,615,10,19995,0.53,1
126357,400,24,28559,0.6,1
88866,543,3,356193,0.18,1
39087,789,25,403237,0.12,1
61430,311,27,103000,0.8,1
44504,538,25,157191,0.26,1
27114,341,5,449755,0.14,1
98859,728,0,493051,0.23,1
119657,457,19,306494,0.13,1
30975,515,22,444439,0.37,1
31023,761,27,30517,0.66,1
41447,433,15,476869,0.34,1
110469,366,14,420466,0.41,1
145899,306,16,220558,0.57,1
43959,825,7,481111,0.46,1
86203,372,27,356276,0.7,1
139156,698,25,489282,0.71,1
49703,704,11,465014,0.11,1
29337,429,26,452415,0.64,1
66427,765,21,326690,0.42,1
141507,505,20,110686,0.79,1
81529,565,9,93151,0.44,1
122023,836,26,270471,0.79,1
104665,552,14,125318,0.63,1
125787,588,29,427984,0.27,1
51921,463,8,200490,0.48,1
53307,394,1,492602,0.79,1
47355,409,4,178860,0.7,0
123268,635,5,120945,0.17,1
147016,537,6,218456,0.59,1
24835,680,20,313974,0.34,1
40159,735,24,57446,0.1,1
124346,782,0,413376,0.38,1
67605,324,22,192655,0.26,1
141790,416,25,432214,0.67,1
125616,781,6,425446,0.34,1
58088,691,19,145148,0.68,1
98752,836,24,74341,0.1,1
75284,378,29,36085,0.32,1
77043,472,11,322715,0.27,1
145388,311,15,412931,0.26,1
55547,427,15,395452,0.15,1
117007,391,10,10750,0.23,1
102844,842,20,381075,0.49,1
47532,831,3,345912,0.3,1
54349,746,12,40903,0.39,1
142402,689,6,208561,0.36,1
138012,342,3,430309,0.71,1
65445,553,14,96036,0.73,1
25713,429,18,92954,0.45,1
76178,359,8,432530,0.33,1
69407,766,10,446441,0.17,1
90340,586,7,486201,0.77,1
70990,816,0,350158,0.14,1
95672,766,22,433395,0.31,1
149473,644,24,122305,0.31,1
85545,681,23,423554,0.32,1
104791,552,7,490651,0.22,1
78141,355,12,205753,0.65,1
43793,762,21,37101,0.19,1
76570,756,26,7775,0.54,1
115084,382,3,116497,0.19,1
57892,398,7,495399,0.15,1
21015,448,2,50619,0.74,1
144704,628,28,444054,0.23,1
81813,455,8,257388,0.67,1
47712,489,28,417755,0.48,1
120497,793,1,238346,0.15,1
28415,562,1,324268,0.77,1
131854,379,27,70149,0.27,1
132816,699,12,31616,0.7,1
148778,559,14,477871,0.22,1
82292,400,27,226767,0.7,1
43833,658,22,190639,0.11,1
24158,679,11,173171,0.46,1
82680,520,25,211903,0.64,1
40309,719,3,236318,0.75,1
26970,423,25,328943,0.74,1
92474,721,7,357365,0.67,1
106704,530,8,382023,0.72,1
66540,362,22,292623,0.24,1
40384,784,4,444388,0.3,1
38017,782,23,366309,0.3,1
95880,818,19,60863,0.36,1
125570,454,17,178115,0.38,1
28702,391,10,349713,0.48,1
20384,825,14,413624,0.21,1
20404,754,27,258347,0.58,1
60943,809,21,194052,0.22,1
67926,482,8,481172,0.32,1
49189,685,16,283495,0.45,1
32763,704,26,140203,0.66,1
38384,545,25,252908,0.62,1
80100,770,11,311969,0.55,1
118142,722,6,278493,0.21,1
29860,364,9,197003,0.48,1
124293,312,24,311398,0.16,1
100642,512,25,305369,0.36,1
70612,541,24,279597,0.39,1
43574,792,9,154886,0.13,1
43524,512,26,154335,0.29,1
89172,637,12,82694,0.77,1
30916,472,18,20735,0.77,1
24809,463,10,414046,0.35,1
52201,764,12,315037,0.13,1
73330,796,20,180745,0.23,1
33456,694,7,394150,0.37,1
133748,607,7,225534,0.76,1
76397,482,3,50066,0.2,1
141288,809,14,236387,0.63,1
58765,845,27,139445,0.18,1
54816,526,10,408551,0.79,1
65106,735,10,421957,0.37,1
73932,721,0,277836,0.64,1
37100,320,16,445511,0.34,1
77091,696,14,50541,0.54,1
41949,404,19,170129,0.23,1
90080,491,5,71983,0.2,1
57744,316,23,155655,0.76,1
65543,419,21,158837,0.74,1
128319,692,27,195359,0.72,1
112193,724,24,422122,0.54,1
56187,428,14,387891,0.67,1
132734,429,8,352247,0.15,1
27239,328,13,215747,0.33,1
144454,396,17,182597,0.32,1
34489,309,25,174302,0.54,1
134937,541,16,417736,0.35,1
78017,531,17,483454,0.2,1
81877,583,4,450150,0.52,1
63125,499,19,292710,0.67,1
69922,378,19,340337,0.37,1
114074,472,8,428350,0.19,1
52049,766,10,408561,0.24,1
57131,715,23,257084,0.27,1
62944,748,21,126015,0.31,1
135765,386,0,177257,0.55,1
93963,400,17,251536,0.52,1
126884,307,5,229021,0.59,1
145917,499,26,135956,0.35,1
44285,804,1,75744,0.68,1
57626,386,14,300599,0.24,1
62808,342,28,426234,0.43,1
108464,684,25,321363,0.66,1
73871,734,20,313135,0.23,1
39198,707,13,78616,0.18,1
39758,782,4,92438,0.72,1
35254,316,5,121841,0.34,1
64238,447,5,145558,0.58,1
21252,576,29,174934,0.12,1
59764,531,21,257734,0.58,1
97709,665,29,63870,0.32,1
57441,527,17,91694,0.14,1
112234,735,13,242068,0.53,1
73682,698,9,311000,0.27,1
79494,510,13,106407,0.37,1
101317,690,12,498960,0.16,1
85215,798,29,484271,0.2,1
98587,839,2,36379,0.31,1
125185,790,29,331873,0.16,1
26949,741,5,426594,0.74,1
127825,560,28,241500,0.1,1
75393,649,7,59353,0.44,1
93553,651,11,186068,0.19,1
26941,819,12,281175,0.32,1
45934,619,10,216144,0.75,1
43386,437,11,70982,0.21,1
145362,849,0,41683,0.78,1
81886,667,16,119091,0.24,1
95745,519,15,122797,0.62,1
103251,636,10,415834,0.48,1
114456,522,12,11587,0.72,1
73413,659,17,329934,0.49,1
76800,628,10,298624,0.47,1
117239,762,27,234602,0.24,1
62318,681,11,156599,0.22,1
139803,468,5,290713,0.74,1
90173,516,8,278295,0.33,1
90390,677,15,469310,0.36,1
72329,418,3,195246,0.63,1
142418,489,2,49739,0.34,1
63088,669,27,37954,0.77,1
136868,448,15,248935,0.62,1
123196,787,23,114373,0.52,1
59811,673,26,433519,0.72,1
134825,459,25,39700,0.13,1
75479,650,29,491252,0.28,1
105392,587,24,128728,0.43,1
107369,587,11,465784,0.26,1
137520,525,10,333932,0.62,1
39963,822,4,76045,0.74,1
75123,821,24,436058,0.4,1
145911,572,17,149972,0.34,1
122468,701,18,395136,0.77,1
112705,482,22,347203,0.41,1
93477,787,22,6881,0.44,1
34388,423,5,431253,0.35,1
25569,713,21,399846,0.74,1
89836,471,17,287933,0.5,1
124573,587,25,393227,0.63,1
56586,734,5,93059,0.67,1
147018,412,3,219566,0.34,1
32015,421,11,313295,0.4,1
65002,843,18,447136,0.69,1
136594,521,28,114388,0.35,1
26254,338,26,203303,0.66,1
37144,796,28,478573,0.76,1
44214,532,1,270406,0.54,1
125654,829,16,334125,0.62,1
100719,448,10,388095,0.66,1
91774,696,10,390243,0.69,1
26090,601,20,86972,0.38,1
31637,659,15,342629,0.14,1
42415,537,1,59722,0.38,1
44071,535,1,356643,0.57,1
78243,502,22,186890,0.42,1
130951,555,7,428148,0.62,1
145827,534,12,274045,0.35,1
128215,644,9,122473,0.54,1
61240,833,7,497239,0.23,1
146146,765,29,275741,0.62,1
103807,840,3,396775,0.48,1
121570,512,14,331053,0.24,1
53434,762,29,339535,0.3,1
89724,735,0,220286,0.62,1
135359,582,10,406479,0.44,1
95697,762,6,330437,0.25,1
48732,706,16,248896,0.78,1
141465,387,26,161877,0.6,1
31314,343,19,489895,0.77,0
43954,760,23,16874,0.4,1
77108,577,17,229137,0.43,1
107044,720,21,353546,0.73,1
107505,652,28,281223,0.47,1
131195,814,21,448066,0.6,1
123081,318,11,339923,0.28,1
56668,322,8,100408,0.41,1
43061,712,4,407234,0.19,1
99252,329,9,125606,0.24,1
59749,407,3,447716,0.1,1
149668,666,4,125062,0.13,1
124680,580,27,17100,0.78,1
36907,427,27,324165,0.27,1
38777,528,9,155872,0.56,1
113229,410,10,395270,0.69,1
71745,435,20,199472,0.49,1
128464,661,23,359590,0.21,1
148077,485,9,296581,0.61,1
111865,428,27,239196,0.52,1
132428,560,7,212609,0.61,1
101818,814,1,444891,0.64,1
43624,748,22,156014,0.78,1
43321,403,7,288006,0.5,1
30488,782,15,278813,0.34,1
42574,523,26,388363,0.55,1
25240,790,21,189844,0.15,1
63221,772,4,283060,0.73,1
30478,309,26,278022,0.18,1
148055,704,24,270129,0.33,1
75645,601,28,496121,0.67,1
130698,530,2,209720,0.52,1
39262,365,11,46235,0.38,1
138831,411,12,286075,0.43,1
72796,312,12,97876,0.7,1
24432,692,9,5336,0.34,1
115257,799,3,310077,0.71,1
84291,533,8,483115,0.16,1
99104,613,21,312680,0.64,1
79399,311,23,74504,0.69,1
147600,508,22,104214,0.23,1
99714,313,26,187220,0.4,1
70428,717,1,118936,0.22,1
107731,736,18,21279,0.59,1
145646,676,0,204737,0.47,1
20302,319,24,108751,0.54,1
102558,369,28,371577,0.24,1
20055,510,6,76386,0.25,1
131317,400,16,91124,0.13,1
28717,431,2,372894,0.33,1
147449,680,19,344629,0.49,1
48699,431,19,341199,0.7,1
93686,319,20,96911,0.57,1
87661,835,29,365762,0.4,1
64247,526,2,475489,0.77,1
134049,453,2,202742,0.6,1
36748,768,16,474690,0.75,1
125113,704,6,452244,0.47,1
24621,501,26,226094,0.28,1
35034,337,25,381036,0.14,1
131927,487,13,489848,0.61,1
147858,356,16,242723,0.18,1
25126,319,17,338272,0.31,1
25122,572,12,416324,0.47,1
38030,418,19,319639,0.5,1
102838,815,28,87806,0.52,1
104717,520,19,360329,0.22,1
75658,825,20,212605,0.37,1
58638,814,26,235097,0.53,1
87067,635,17,455046,0.78,1
126476,354,3,472856,0.61,1
138033,799,0,450725,0.75,1
125977,835,17,202478,0.63,1
108869,461,0,492436,0.51,1
125186,458,25,175591,0.23,1
54674,487,25,316793,0.57,1
55854,359,12,170596,0.54,1
66271,618,19,494709,0.52,1
93688,510,19,169957,0.44,1
58518,705,22,442585,0.47,1
131076,408,9,237204,0.33,1
30267,375,26,362546,0.46,1
110825,841,10,297820,0.24,1
21062,613,8,331237,0.66,1
136664,416,8,445980,0.23,1
70448,318,4,186871,0.16,1
115462,731,25,346558,0.41,1
26229,649,0,360239,0.56,1
76793,482,16,248154,0.41,1
134813,412,21,77307,0.29,1
67915,482,1,480278,0.49,1
24632,780,23,362576,0.34,1
124592,445,12,299067,0.75,1
23596,412,8,384593,0.75,1
129779,775,28,499955,0.45,1
26168,602,3,240998,0.33,1
128099,417,4,476604,0.62,1
27561,460,10,314718,0.13,1
93794,700,23,441607,0.43,1
102152,497,18,126757,0.34,1
145036,559,20,58664,0.74,1
144049,346,2,334528,0.11,1
46734,698,11,298171,0.49,1
26371,377,25,171536,0.62,1
138894,423,18,301629,0.44,1
46069,374,18,264438,0.16,1
99905,436,12,155528,0.78,1
32910,699,27,473011,0.46,1
93479,804,6,302698,0.53,1
97735,799,14,314066,0.27,1
101264,437,22,280553,0.44,1
43275,349,6,205399,0.4,1
92274,553,25,227472,0.15,1
101449,725,7,303783,0.17,1
120776,846,4,236182,0.69,1
80004,601,20,461843,0.27,1
82981,648,13,481640,0.24,1
104659,348,3,286836,0.45,1
74553,373,22,94037,0.64,1
68447,560,9,214912,0.14,1
54529,655,19,190272,0.5,1
146394,559,14,229135,0.18,1
95703,594,17,193487,0.13,1
96090,612,19,23074,0.14,1
37260,481,12,151621,0.68,1
132581,663,28,297107,0.18,1
23812,487,7,489672,0.13,1
48024,842,8,232434,0.41,1
78656,847,15,237679,0.69,1
136148,707,18,57265,0.28,1
47285,713,15,21061,0.4,1
112436,641,6,456442,0.13,1
136421,519,13,164882,0.41,1
21605,462,27,458222,0.5,1
91158,519,13,118502,0.5,1
92303,569,24,289944,0.33,1
47139,699,26,383336,0.32,1
97149,481,3,261505,0.17,1
76138,504,25,112228,0.36,1
138205,527,14,211548,0.17,1
96125,549,2,467676,0.64,1
33918,740,4,455983,0.78,1
105655,832,0,295198,0.78,1
47446,495,2,473535,0.71,1
144040,818,14,181469,0.52,1
33046,369,23,18233,0.59,1
149922,698,26,247277,0.3,1
44818,502,7,488236,0.54,1
120894,447,28,161140,0.42,1
135751,771,3,332871,0.44,1
24324,498,1,357754,0.63,1
96323,725,28,337597,0.3,1
29111,791,23,109135,0.32,1
58110,441,23,424048,0.75,1
36389,612,9,375608,0.14,1
142177,464,3,222314,0.44,1
61427,613,2,18682,0.74,1
99579,320,1,490514,0.53,1
48746,381,24,159455,0.48,1
142883,430,16,325304,0.27,1
107886,604,22,229404,0.34,1
127141,670,20,290810,0.7,1
20117,683,23,325961,0.49,1
145808,744,19,96198,0.46,1
132221,724,22,432858,0.17,1
104471,460,12,46830,0.11,1
132613,477,4,15234,0.77,1
33234,789,29,62616,0.36,1
149597,626,20,276365,0.52,1
123864,588,29,147482,0.16,1
73441,653,8,216127,0.58,1
20846,327,24,197485,0.75,1
30954,342,28,6051,0.5,1
99239,722,24,377673,0.19,1
133689,476,27,473517,0.51,1
66514,828,21,81918,0.64,1
108236,793,5,83116,0.38,1
117579,497,4,389370,0.72,1
148644,816,24,454779,0.55,1
26469,813,9,233931,0.73,1
50105,321,7,311901,0.54,1
62101,411,6,388152,0.19,1
84323,356,6,213547,0.32,1
111922,365,5,449473,0.24,1
78067,397,20,231572,0.74,1
69376,443,28,136379,0.63,1
65587,734,19,61889,0.57,1
56976,385,2,467111,0.31,1
124587,643,18,231256,0.23,1
147534,593,21,303088,0.63,1
87584,542,14,366699,0.43,1
124537,331,3,43134,0.26,1
98477,690,27,425539,0.53,1
130911,576,11,207834,0.13,1
62533,831,5,485441,0.33,1
21828,453,18,232579,0.43,1
21917,682,3,30954,0.2,1
40618,367,14,191093,0.79,1
52254,513,8,357103,0.25,1
125292,675,4,231999,0.19,1
136714,512,12,215938,0.24,1
67362,378,22,206499,0.64,1
40128,680,25,272136,0.4,1
143781,357,17,6961,0.5,1
131281,325,29,17497,0.11,1
79383,746,29,430767,0.12,1
85545,365,4,474600,0.41,1
102180,553,24,261446,0.67,1
107958,343,15,453971,0.72,1
29865,396,26,280399,0.16,1
22219,526,18,140639,0.48,1
59809,735,13,315991,0.74,1
136748,678,24,240889,0.37,1
25287,477,29,184075,0.68,1
146593,726,15,25389,0.19,1
54387,606,26,180595,0.75,1
28512,803,14,390946,0.63,1
21342,567,21,328720,0.76,1
83076,307,3,311063,0.57,1
128872,807,6,218175,0.35,1
39216,775,15,8358,0.76,1
137512,596,23,355679,0.29,1
136682,463,21,257557,0.33,1
113070,784,20,212596,0.59,1
99767,371,21,259488,0.64,1
117829,537,20,110982,0.75,1
46614,403,7,233129,0.24,1
56258,509,16,272842,0.66,1
113789,767,15,333953,0.62,1
62078,753,26,98079,0.14,1
126288,567,22,60805,0.37,1
103524,685,9,167421,0.3,1
116573,686,9,212849,0.31,1
32219,558,26,448464,0.79,1
20235,582,1,342177,0.55,1
62929,339,29,243483,0.6,1
147309,785,8,365383,0.78,1
87444,519,16,397551,0.36,1
28567,428,10,49041,0.66,1
121834,819,9,299098,0.4,1
90792,559,21,275146,0.71,1
85441,665,24,336927,0.23,1
104555,843,16,112524,0.76,1
93698,823,3,223306,0.25,1
144450,315,15,392001,0.33,1
137248,428,19,24738,0.63,1
25415,408,14,277847,0.38,1
56159,832,24,118776,0.53,1
63925,568,26,185494,0.41,1
146523,461,20,481322,0.62,1
25951,559,4,197971,0.26,1
107388,401,5,410608,0.14,1
28007,805,16,311868,0.31,1
146730,546,0,299443,0.43,1
61832,836,24,282785,0.22,1
78596,430,18,346678,0.35,1
141101,652,3,273449,0.38,1
50523,495,16,234334,0.14,1
108861,681,8,285926,0.51,1
144194,526,23,345401,0.72,1
106740,775,1,241371,0.21,1
35524,776,7,82963,0.52,1
149028,564,14,126987,0.57,1
39282,671,6,156638,0.39,1
43930,785,26,129591,0.59,1
20077,733,5,72766,0.39,1
125881,510,0,11511,0.45,1
145501,676,14,119816,0.11,1
40611,694,22,254432,0.58,1
36984,749,25,424393,0.56,1
34060,663,6,271909,0.13,1
102985,756,28,156426,0.36,1
104056,525,29,291073,0.79,1
145329,430,24,164892,0.39,1
63303,775,16,116576,0.45,1
79207,576,1,427739,0.74,1
95046,455,26,76088,0.6,1
49287,517,8,464379,0.51,0
113709,489,28,82525,0.66,1
59711,716,8,18780,0.71,1
31954,845,12,273733,0.42,1
93340,340,5,433028,0.43,1
92101,606,5,360808,0.37,1
91520,637,19,444155,0.78,1
107062,613,19,449709,0.59,1
122974,374,20,109188,0.16,1
38574,578,2,98326,0.7,1
29184,475,16,308097,0.44,1
39096,572,16,70785,0.15,1
87728,588,11,24309,0.48,1
54016,571,15,59195,0.39,0
31246,365,14,30901,0.71,1
65558,782,12,159648,0.24,1
138721,547,22,429724,0.68,1
38381,455,0,472927,0.49,1
147796,346,16,30464,0.14,1
56455,753,2,458497,0.78,1
112263,500,25,283404,0.46,1
24018,423,14,129997,0.3,1
31302,300,3,302584,0.43,1
87506,490,3,362226,0.7,1
61157,815,17,372727,0.31,1
74917,741,16,61683,0.23,1
112738,442,18,391350,0.19,1
116646,490,10,177502,0.31,1
103122,832,19,400203,0.65,1
44519,526,2,161177,0.43,1
116809,612,7,83484,0.26,1
